,cant_carga,total_trips,demanda
278,20.0,2.0,40.0
279,40.0,3.0,120.0
280,55.0,4.0,220.0
281,25.0,4.0,100.0
282,30.0,2.0,60.0
283,20.0,2.0,40.0
284,25.0,2.0,50.0
285,35.0,4.0,140.0
286,30.0,2.0,60.0
287,35.0,3.0,105.0
288,90.0,3.0,270.0
289,70.0,2.0,140.0
290,80.0,7.0,560.0
291,300.0,3.0,900.0
292,2220.0,3.0,6660.0
293,60.0,3.0,180.0
294,200.0,3.0,600.0
295,90.0,2.0,180.0
296,80.0,2.0,160.0
297,0.0,0.0,0.0
298,0.0,0.0,0.0
299,80.0,3.0,240.0
300,0.0,0.0,0.0
301,40.0,2.0,80.0
302,50.0,5.0,250.0
303,50.0,2.0,100.0
304,0.0,0.0,0.0
305,0.0,0.0,0.0
306,0.0,0.0,0.0
307,70.0,3.0,210.0
308,20.0,2.0,40.0
309,25.0,1.0,25.0
310,30.0,1.0,30.0
311,0.0,0.0,0.0
312,0.0,0.0,0.0
313,0.0,0.0,0.0
314,30.0,2.0,60.0
315,20.0,1.0,20.0
316,0.0,0.0,0.0
317,25.0,2.0,50.0
318,0.0,0.0,0.0
319,30.0,2.0,60.0
320,0.0,0.0,0.0
321,0.0,0.0,0.0
322,30.0,1.0,30.0
323,0.0,0.0,0.0
324,30.0,1.0,30.0
325,0.0,0.0,0.0
326,0.0,0.0,0.0
327,0.0,0.0,0.0
328,0.0,0.0,0.0
329,0.0,0.0,0.0
330,0.0,0.0,0.0
331,0.0,0.0,0.0
332,0.0,0.0,0.0
333,0.0,0.0,0.0
334,0.0,0.0,0.0
335,20.0,3.0,60.0
336,0.0,0.0,0.0
337,0.0,0.0,0.0
338,20.0,3.0,60.0
339,15.0,3.0,45.0
340,0.0,0.0,0.0
341,20.0,1.0,20.0
342,35.0,2.0,70.0
343,0.0,0.0,0.0
344,0.0,0.0,0.0
345,0.0,0.0,0.0
346,0.0,0.0,0.0
347,15.0,2.0,30.0
348,30.0,1.0,30.0
349,0.0,0.0,0.0
350,20.0,2.0,40.0
351,0.0,0.0,0.0
352,0.0,0.0,0.0
353,15.0,1.0,15.0
354,20.0,2.0,40.0
355,0.0,0.0,0.0
356,15.0,1.0,15.0
357,0.0,0.0,0.0
358,5.0,2.0,10.0
359,10.0,3.0,30.0
360,10.0,3.0,30.0
361,12.0,7.0,84.0
362,20.0,7.0,140.0
363,100.0,7.0,700.0
364,200.0,7.0,1400.0
365,30.0,7.0,210.0
366,50.0,7.0,350.0
367,10.0,7.0,70.0
368,50.0,7.0,350.0
369,20.0,7.0,140.0
370,50.0,7.0,350.0
371,8.0,5.0,40.0
372,70.0,6.0,420.0
373,100.0,6.0,600.0
374,80.0,6.0,480.0
375,70.0,6.0,420.0
376,50.0,5.0,250.0
377,90.0,6.0,540.0
378,100.0,6.0,600.0
379,200.0,5.0,1000.0
380,310.0,5.0,1550.0
381,350.0,4.0,1400.0
382,40.0,6.0,240.0
383,400.0,4.0,1600.0
384,80.0,7.0,560.0
385,50.0,6.0,300.0
386,40.0,4.0,160.0
387,80.0,7.0,560.0
388,80.0,5.0,400.0
389,0.0,0.0,0.0
390,0.0,0.0,0.0
391,0.0,0.0,0.0
392,0.0,0.0,0.0
393,30.0,10.0,300.0
394,60.0,1.0,60.0
395,0.0,0.0,0.0
396,50.0,1.0,50.0
397,0.0,0.0,0.0
398,0.0,0.0,0.0
399,5.0,1.0,5.0
400,8.0,1.0,8.0
401,0.0,0.0,0.0
402,0.0,0.0,0.0
403,0.0,0.0,0.0
404,5.0,1.0,5.0
405,15.0,1.0,15.0
406,0.0,0.0,0.0
407,20.0,1.0,20.0
408,0.0,0.0,0.0
409,0.0,0.0,0.0
410,0.0,0.0,0.0
411,8.0,3.0,24.0
412,0.0,0.0,0.0
413,2.0,2.0,4.0
414,5.0,4.0,20.0
415,0.0,0.0,0.0
416,0.0,0.0,0.0
417,0.0,0.0,0.0
418,15.0,3.0,45.0
419,0.0,0.0,0.0
420,0.0,0.0,0.0
421,0.0,0.0,0.0
422,0.0,0.0,0.0
423,4.0,1.0,4.0
424,0.0,0.0,0.0
425,0.0,0.0,0.0
426,0.0,0.0,0.0
427,0.0,0.0,0.0
428,0.0,0.0,0.0
429,8.0,1.0,8.0
430,0.0,0.0,0.0
431,0.0,0.0,0.0
432,90.0,2.0,180.0
433,20.0,8.0,160.0
434,0.0,0.0,0.0
435,0.0,0.0,0.0
436,0.0,0.0,0.0
437,0.0,0.0,0.0
438,0.0,0.0,0.0
439,10.0,7.0,70.0
440,10.0,3.0,30.0
441,0.0,0.0,0.0
442,70.0,7.0,490.0
443,3.0,1.0,3.0
444,6.0,2.0,12.0
445,0.0,0.0,0.0
446,0.0,0.0,0.0
447,0.0,0.0,0.0
448,0.0,0.0,0.0
449,0.0,0.0,0.0
450,0.0,0.0,0.0
451,2.0,1.0,2.0
452,60.0,3.0,180.0
453,5.0,1.0,5.0
454,28.0,1.0,28.0
455,400.0,3.0,1200.0
456,0.0,0.0,0.0
457,0.0,0.0,0.0
458,0.0,0.0,0.0
459,0.0,0.0,0.0
460,0.0,0.0,0.0
461,4.0,1.0,4.0
462,0.0,0.0,0.0
463,0.0,0.0,0.0
464,20.0,1.0,20.0
465,0.0,0.0,0.0
466,0.0,0.0,0.0
467,20.0,3.0,60.0
468,500.0,1.0,500.0
469,0.0,0.0,0.0
470,50.0,6.0,300.0
471,0.0,0.0,0.0
472,0.0,0.0,0.0
473,0.0,0.0,0.0
474,0.0,0.0,0.0
475,0.0,0.0,0.0
476,20.0,1.0,20.0
477,0.0,0.0,0.0
478,0.0,0.0,0.0
479,0.0,0.0,0.0
480,0.0,0.0,0.0
481,0.0,0.0,0.0
482,30.0,2.0,60.0
483,0.0,0.0,0.0
484,0.0,0.0,0.0
485,0.0,0.0,0.0
486,0.0,0.0,0.0
487,5.0,1.0,5.0
488,20.0,1.0,20.0
489,15.0,1.0,15.0
490,0.0,0.0,0.0
491,0.0,0.0,0.0
492,0.0,0.0,0.0
493,2.0,1.0,2.0
494,0.0,0.0,0.0
495,40.0,2.0,80.0
496,40.0,1.0,40.0
497,0.0,0.0,0.0
498,0.0,0.0,0.0
499,150.0,2.0,300.0
500,0.0,0.0,0.0
501,2.0,2.0,4.0
502,10.0,2.0,20.0
503,300.0,3.0,900.0
504,0.0,0.0,0.0
505,0.0,0.0,0.0
506,0.0,0.0,0.0
507,0.0,0.0,0.0
508,0.0,0.0,0.0
509,0.0,0.0,0.0
510,0.0,0.0,0.0
511,0.0,0.0,0.0
512,0.0,0.0,0.0
513,0.0,0.0,0.0
514,0.0,0.0,0.0
515,0.0,0.0,0.0
516,0.0,0.0,0.0
517,0.0,0.0,0.0
518,0.0,0.0,0.0
519,0.0,0.0,0.0
520,0.0,0.0,0.0
521,5.0,1.0,5.0
522,0.0,0.0,0.0
523,1.0,2.0,2.0
524,0.0,0.0,0.0
525,2.0,2.0,4.0
526,5.0,3.0,15.0
527,5.0,3.0,15.0
528,5.0,3.0,15.0
529,0.0,0.0,0.0
530,0.0,0.0,0.0
531,3.0,2.0,6.0
532,0.0,0.0,0.0
533,3.0,6.0,18.0
534,0.0,0.0,0.0
535,0.0,0.0,0.0
536,1.0,6.0,6.0
537,0.0,0.0,0.0
538,0.0,0.0,0.0
539,35.0,6.0,210.0
540,0.0,0.0,0.0
541,35.0,6.0,210.0
542,35.0,6.0,210.0
543,0.0,0.0,0.0
544,0.0,0.0,0.0
545,0.0,0.0,0.0
546,20.0,2.0,40.0
547,10.0,5.0,50.0
548,90.0,2.0,180.0
549,280.0,7.0,1960.0
550,0.0,0.0,0.0
551,0.0,0.0,0.0
552,110.0,2.0,220.0
553,200.0,2.0,400.0
554,0.0,0.0,0.0
555,18.0,6.0,108.0
556,5.0,1.0,5.0
557,60.0,1.0,60.0
558,0.0,0.0,0.0
559,0.0,0.0,0.0
560,30.0,4.0,120.0
561,0.0,0.0,0.0
562,20.0,2.0,40.0
563,6.0,6.0,36.0
564,5.0,2.0,10.0
565,0.0,0.0,0.0
566,0.0,0.0,0.0
567,0.0,0.0,0.0
568,0.0,0.0,0.0
569,0.0,0.0,0.0
570,20.0,1.0,20.0
571,0.0,0.0,0.0
572,20.0,2.0,40.0
573,0.0,0.0,0.0
574,30.0,1.0,30.0
575,18.0,1.0,18.0
576,0.0,0.0,0.0
577,20.0,3.0,60.0
578,20.0,3.0,60.0
579,50.0,2.0,100.0
580,20.0,1.0,20.0
581,0.0,0.0,0.0
582,30.0,6.0,180.0
583,0.0,0.0,0.0
584,10.0,2.0,20.0
585,10.0,1.0,10.0
586,5.0,2.0,10.0
587,0.0,0.0,0.0
588,0.0,0.0,0.0
589,0.0,0.0,0.0
590,0.0,0.0,0.0
591,45.0,3.0,135.0
592,50.0,7.0,350.0
593,24.0,6.0,144.0
594,0.0,0.0,0.0
595,0.0,0.0,0.0
596,0.0,0.0,0.0
597,40.0,3.0,120.0
598,15.0,4.0,60.0
599,10.0,3.0,30.0
600,10.0,3.0,30.0
601,40.0,3.0,120.0
602,18.0,2.0,36.0
603,21.0,2.0,42.0
604,20.0,3.0,60.0
605,0.0,0.0,0.0
606,13.0,6.0,78.0
607,30.0,2.0,60.0
608,0.0,0.0,0.0
609,0.0,0.0,0.0
610,60.0,1.0,60.0
611,60.0,1.0,60.0
612,0.0,0.0,0.0
613,0.0,0.0,0.0
614,0.0,0.0,0.0
615,0.0,0.0,0.0
616,0.0,0.0,0.0
617,0.0,0.0,0.0
618,0.0,0.0,0.0
